length,result
1.0,0.05252671537185886
2.0,0.00682659249028589
3.0,0.0026501529656913388
4.0,0.00328879017678836
5.0,0.0023677193490830545
6.0,0.0011406796639201215
7.0,0.0010120134663338023
8.0,0.0009420537066346777
9.0,0.0006464892164769468
10.0,0.0005873082937607622
11.0,0.0006062183746672745
12.0,0.0006032978402255281
13.0,0.00058762986601334
14.0,0.000595383193178599
15.0,0.000659988310944058
16.0,0.0007200294487408458
17.0,0.0007566606057208977
18.0,0.000788177035857204
19.0,0.0008462801777068742
20.0,0.0009574574454600984
21.0,0.0010138617694351582
22.0,0.0009874728582547822
23.0,0.0010646968060742579
24.0,0.0012574015272171259
25.0,0.0012319099432893318
26.0,0.0011203944234293257
27.0,0.0011938950391886696
28.0,0.001221312142087773
29.0,0.0010769996849772571
30.0,0.0010800498684952367
31.0,0.0011821614653933297
32.0,0.0010794142926621193
33.0,0.0009972516049025096
34.0,0.0010657568989531061
35.0,0.001068671116966574
36.0,0.0009858888567686726
37.0,0.0009805583261661617
38.0,0.0010228621584892456
39.0,0.0009923560134118784
40.0,0.0009463846745122538
41.0,0.0009646463326103279
42.0,0.0009781874093549017
43.0,0.000943363134540371
44.0,0.0009269067517838301
45.0,0.0009436287573401719
46.0,0.0009385764333598133
47.0,0.0009171574352285997
48.0,0.0009161710670980219
49.0,0.0009219781861548898
